text;optionA;optionB;optionC;optionD;correctIndex;level
Welche Temperatur ist für Tiefkühlware gesetzlich vorgeschrieben?;-18 Grad Celsius oder kälter;0 Grad Celsius;-5 Grad Celsius;+4 Grad Celsius;0;2
Was ist "Dashi" in der japanischen Küche?;Ein Basis-Fischfond;Eine Nudelsorte;Ein Dessert;Ein scharfer Rettich;0;3
Woraus wird "Wasabi" traditionell hergestellt?;Japanischer Meerrettich;Grüner Senf;Spinat;Chili;0;1
Was ist eine "Paella"?;Spanisches Reisgericht;Italienische Pasta;Französischer Eintopf;Griechischer Salat;0;1
Was versteht man unter "Spherification" (Sphärisierung)?;Flüssigkeiten in Perlen verwandeln;Fleisch weich klopfen;Gemüse trocknen;Einfrieren;0;3
Was ist "Lecithin" in der modernen Küche?;Ein Emulgator für Schäume;Ein Süßungsmittel;Ein Farbstoff;Ein Verdickungsmittel;0;3
Woraus besteht "Hummus"?;Kichererbsen und Tahina;Linsen und Speck;Bohnen und Öl;Erbsen und Sahne;0;1
Was ist "Kimchi"?;Fermentierter Chinakohl;Ein japanisches Steak;Ein Dessert aus Reis;Ein thailändisches Curry;0;2
Was versteht man unter "Ceviche"?;In Limettensaft gegarter Fisch;Gegrilltes Fleisch;Eine Suppe;Ein Gebäck;0;2
Welche Zutat ist essenziell für ein "Wiener Gulasch"?;Viel Zwiebeln;Sahne;Kartoffeln;Tomatenmark;0;2
Was ist "Taboulé"?;Petersiliensalat mit Bulgur;Ein Fleischspieß;Ein Käse;Eine Brotsorte;0;2
Woraus besteht "Guacamole"?;Avocado;Tomaten;Käse;Auberginen;0;1
Was ist "Tandoori"?;Indische Zubereitungsart im Lehmofen;Ein chinesisches Gewürz;Eine Nudelsorte;Ein Getränk;0;2
Was ist "Pekingente" spezialität?;Chinesische Küche;Japanische Küche;Thailändische Küche;Indische Küche;0;1
Was ist ein "Chutney"?;Würzig-süß-saure Sauce;Ein klarer Schnaps;Ein Fischgericht;Ein Brot;0;2
Was ist "Bouillabaisse"?;Französische Fischsuppe;Fleischeintopf;Gemüseauflauf;Dessert;0;2
Was versteht man unter dem "Deckungsbeitrag"?;Differenz zwischen Umsatz und Wareneinsatz;Der Reingewinn;Die Mehrwertsteuer;Die Miete;0;3
Was ist eine "Mischkalkulation"?;Ausgleich zwischen gewinnstarken und -schwachen Gerichten;Mischen von Zutaten;Zusammenrechnen von Preisen;Eine Schätzung;0;3
Wie hoch ist der Netto-Preis, wenn Brutto 119 Euro sind (19% MwSt)?;100 Euro;101 Euro;90 Euro;110 Euro;0;3
Was ist "Skonto"?;Preisnachlass bei Barzahlung oder früher Zahlung;Ein Lagerfehler;Ein Rabatt für große Mengen;Eine Steuer;0;2
Was bedeutet "Rentabilität"?;Verhältnis von Gewinn zu eingesetztem Kapital;Die Schnelligkeit der Küche;Die Größe des Lagers;Die Anzahl der Gäste;0;3
Wie berechnet man den "Wareneinsatz in Prozent"?;(Wareneinsatz / Umsatz) * 100;Umsatz - Wareneinsatz;Preis * Menge;Gewinn + Kosten;0;3
Was ist "AfA" in der Buchhaltung?;Absetzung für Abnutzung;Allgemeine Finanz-Auskunft;Amt für Arbeit;Anfangs-Ausgabe;0;3
Was versteht man unter "Fixkosten"?;Kosten, die unabhängig vom Umsatz anfallen;Kosten für Lebensmittel;Trinkgelder;Rabatte;0;2
Wie viel Fleisch (Rohgewicht) plant man ca. pro Person für ein Hauptgericht?;200 bis 250 Gramm;500 Gramm;100 Gramm;1 Kilogramm;0;2
Was ist ein "Liquiditätsengpass"?;Zu wenig Bargeld zur Zahlung von Rechnungen;Zu wenig Wein im Keller;Ein kaputter Wasserhahn;Ein kleiner Weinkeller;0;3
